CaseId,Summary__c,Sentiment__c,Sentiment_Reason__c,Suggested_Solution__c,Urgency__c
500gK000006Z2FeQAK,Customer unable to access AquaSec Console via SSO.,Neutral,Login issues via SSO; customer still investigating.,Await customer's confirmation before proceeding to close the case.,Medium
500gK000006Z2FfQAK,User received a one-time passcode (OTP) for accessing a specific web page.,Neutral,The message is informational with no indication of the user's emotional response.,No further action required. This is an automated-action.,Low
500gK000006Z2FgQAK,Customer disputes billing charge after canceling services.,Negative,Customer reported an unauthorized charge despite prior service cancellation.,Investigate billing history and service cancellation; contact customer to resolve.,High
500gK000006Z2FhQAK,"The customer is experiencing issues with scanning container images in a CI/CD pipeline using Trivy, specifically with initializing the image scanner and integrating results with GitHub security.",Neutral,The customer is seeking help for technical issues but does not express frustration or satisfaction explicitly.,"Guide the customer on setting up the correct environment variables for Trivy, obtaining necessary tokens from the SAAS portal, and correctly configuring Docker login and volume mounts for output file management.",Medium
500gK000006Z2FiQAK,"Customer reported an issue where AquaCLI was not displaying certain CVEs after upgrading, specifically an SSH CVE in the image genesis-base-ui:1.2.2. The issue was resolved after confirming that all vulnerabilities were correctly reported by both the Aqua console and ScannerCLI.",Positive,The customer expressed satisfaction with the resolution and the support received.,Ensure that both the Aqua console and ScannerCLI are using the same version to avoid discrepancies in vulnerability reporting.,Medium
500gK000006Z2FjQAK,"The customer is experiencing issues with compliance statuses and permissions errors on certain VMs. They are unable to manually scan these VMs, and some VMs show non-compliant statuses.",Negative,The customer is facing technical issues which are impacting their ability to manage VM compliance effectively.,Continue troubleshooting the permission errors and compliance status issues. Ensure that the customer can manually scan VMs and that compliance statuses are accurately displayed.,Medium
500gK000006Z2FkQAK,User requested assistance integrating Aqua code scanning into Jenkins via GitHub.,Neutral,The user requested support but has not expressed satisfaction or frustration.,Provide guidance on setting up access keys and integrating Aqua scanning with Jenkins pipelines.,Medium
500gK000006Z2FlQAK,User requested a method to mark vulnerabilities as false positives in Trivy scans.,Neutral,Issue was resolved with technical guidance; no emotional feedback was provided.,Use a .trivyignore file to specify CVE IDs that should be excluded from scan results.,Medium
500gK000006Z2FmQAK,Malware detection test with EICAR signature failed in one namespace due to a global bypass setting. Worked in another namespace.,Neutral,"Customer confirmed resolution, but tone is not explicitly grateful or positive.",Ensure malware detection tests are run in namespaces without AMP global bypass settings to validate functionality.,Medium
500gK000006Z2FnQAK,"Customer requested the addition of six new domains and user access to documentation and downloads. After some clarifications and updates, the request was completed, and the customer was asked to open a new ticket for further additions.",Positive,"The customer's requests were addressed and completed satisfactorily, and they agreed to close the ticket.",Open a new ticket for additional user additions as suggested by the support team.,Medium
